percobaan_1,percobaan_2,percobaan_3,percobaan_4,percobaan_5
1.04,1.08,1.02,1.08,1.01
1.06,1.15,1.17,1.19,1.12
1.06,1.2,1.23,1.25,1.28
1.06,1.25,1.23,1.38,1.37
1.12,1.3,1.25,1.36,1.38
1.18,1.32,1.28,1.43,1.49
1.11,1.34,1.3,1.44,1.49
1.13,1.38,1.3,1.46,1.51
1.15,1.41,1.31,1.49,1.53
1.18,1.48,1.33,1.5,1.55
1.24,1.55,1.38,1.51,1.55
1.27,1.61,1.44,1.52,1.54
1.31,1.63,1.51,1.54,1.57
1.33,1.62,1.57,1.59,1.61
1.36,1.61,1.62,1.64,1.62
1.39,1.59,1.65,1.69,1.65
1.41,1.59,1.69,1.74,1.68
1.45,1.61,1.72,1.78,1.71
1.49,1.65,1.75,1.82,1.74
1.52,1.72,1.79,1.85,1.73
1.57,1.79,1.82,1.88,1.73
1.62,1.84,1.84,1.91,1.74
1.66,1.88,1.86,1.94,1.76
1.69,1.91,1.87,1.95,1.79
1.72,1.92,1.9,1.95,1.82
1.75,1.94,1.91,1.95,1.85
1.77,1.94,1.93,1.94,1.88
1.79,1.95,1.95,1.94,1.9
1.8,1.95,1.95,1.94,1.94
1.82,1.96,1.96,1.94,1.96
1.83,1.97,1.97,1.95,1.98
1.84,1.97,1.98,1.96,1.99
1.85,1.98,1.99,1.97,2
1.86,2,1.99,1.97,2.01
1.87,2.01,2,1.99,2.01
1.88,2.02,2,2,2.02
1.89,2.04,2.01,2.01,2.02
1.9,2.06,2.02,2.02,2.02
1.91,2.07,2.01,2.03,2.03
1.92,2.09,2.02,2.04,2.03
1.93,2.1,2.02,2.05,2.04
1.94,2.12,2.03,2.07,2.05
1.95,2.13,2.04,2.08,2.07
1.96,2.15,2.04,2.09,2.09
1.97,2.16,2.05,2.1,2.09
1.98,2.17,2.05,2.12,2.11
2,2.19,2.05,2.13,2.13
2.01,2.2,2.06,2.14,2.15
2.02,2.22,2.07,2.15,2.16
2.03,2.24,2.08,2.17,2.18
2.04,2.25,2.08,2.17,2.19
2.05,2.26,2.09,2.18,2.21
2.07,2.28,2.1,2.2,2.22
2.07,2.28,2.11,2.21,2.22
2.08,2.3,2.11,2.22,2.24
2.1,2.31,2.13,2.22,2.23
2.11,2.32,2.14,2.24,2.24
2.12,2.33,2.15,2.24,2.25
2.13,2.33,2.16,2.25,2.26
2.13,2.35,2.17,2.26,2.27
